time_ns,expected_counts,measured_counts,lifetime_true_ns,fitted_counts,residual_counts,reduced_residual
0.0,10005.0,10090,2.5,10007.576872077248,82.42312792275152,0.8239192018108831
0.0391389432485322,9849.663342233163,9971,2.5,9851.849518321671,119.15048167832902,1.200430213398012
0.0782778864970645,9696.739632190944,9542,2.5,9698.546878453382,-156.5468784533823,-1.589611798439142
0.1174168297455968,9546.191387949852,9624,2.5,9547.631199070083,76.36880092991669,0.7815704919276312
0.1565557729941291,9397.981709818068,9271,2.5,9399.065314599404,-128.0653145994038,-1.3209585400023809
0.1956947162426614,9252.07427129125,9216,2.5,9252.812638146235,-36.81263814623526,-0.3827014060487018
0.2348336594911937,9108.43331014884,9148,2.5,9108.837152482593,39.1628475174075,0.41033899718959893
0.273972602739726,8967.023619688662,8952,2.5,8967.103401177741,-15.103401177741034,-0.15949558632606506
0.3131115459882583,8827.810540097673,8842,2.5,8827.576479866457,14.423520133543207,0.15351489527256312
0.3522504892367906,8690.759949956795,8790,2.5,8690.222027653215,99.77797234678474,1.0703337943131577
0.3913894324853229,8555.838257877662,8629,2.5,8555.006218650242,73.99378134975814,0.7999909188986349
0.4305283757338551,8423.012394269312,8502,2.5,8421.895753647303,80.10424635269737,0.8728720917910786
0.4696673189823874,8292.24980323275,8284,2.5,8290.857851911205,-6.857851911205216,-0.07531619446773197
0.5088062622309197,8163.518434581445,8059,2.5,8161.8602431129775,-102.86024311297751,-1.138552259353335
0.547945205479452,8036.7867359857455,7991,2.5,8034.871159380751,-43.87115938075112,-0.48942894832164757
0.5870841487279843,7912.023645239343,7904,2.5,7909.859327476376,-5.859327476376166,-0.06588148675173808
0.6262230919765166,7789.19858264586,7675,2.5,7786.793961093849,-111.79396109384925,-1.266890275862358
0.6653620352250489,7668.281443523705,7594,2.5,7665.64475327766,-71.64475327766013,-0.8182952815149275
0.7045009784735812,7549.242590827346,7534,2.5,7546.381868959186,-12.38186895918625,-0.14253345562809416
0.7436399217221135,7432.052847883212,7483,2.5,7428.97593760929,54.02406239071024,0.6267910152371972
0.7827788649706457,7316.683491238428,7410,2.5,7313.398046005326,96.60195399467375,1.1296042180362955
0.821917808219178,7203.106243620636,7176,2.5,7199.619731110766,-23.619731110766224,-0.27836855176887915
0.8610567514677103,7091.293267007173,7136,2.5,7087.612973065688,48.387026934312416,0.5747499487034231
0.9001956947162426,6981.217155801919,6902,2.5,6977.350188286399,-75.35018828639932,-0.9020675944132911
0.9393346379647748,6872.850930118127,6947,2.5,6868.804222672517,78.19577732748257,0.9435017981064021
0.9784735812133072,6766.168029165585,6816,2.5,6761.948344919797,54.05165508020309,0.6573142875580592
1.0176125244618397,6661.142304740529,6652,2.5,6656.756239937094,-4.756239937093596,-0.05829515055208699
1.0567514677103718,6557.748014816645,6458,2.5,6553.202002365823,-95.20200236582332,-1.176032449937283
1.095890410958904,6455.959817235656,6495,2.5,6451.260130200316,43.73986979968413,0.5445718761844961
1.1350293542074363,6355.7527634959015,6370,2.5,6350.905518507519,19.094481492480554,0.23960178201263693
1.1741682974559686,6257.102292637406,6288,2.5,6252.113453244471,35.8865467555288,0.453856170604731
1.213307240704501,6159.984225221939,6173,2.5,6154.859605172046,18.14039482795397,0.2312265289462441
1.2524461839530332,6064.374757406582,5995,2.5,6059.120023863467,-64.1200238634674,-0.8237376142768468
1.2915851272015657,5970.250455109354,6063,2.5,5964.871131806092,98.12886819390769,1.2705631549618117
1.3307240704500978,5877.588248265476,5719,2.5,5872.089718595061,-153.08971859506073,-1.9977893034972438
1.36986301369863,5786.365425172839,5740,2.5,5780.7529352173215,-40.752935217321465,-0.5360023452632336
1.4090019569471623,5696.559626925331,5709,2.5,5690.83828842468,18.161711575319714,0.24075130615353355
1.4481409001956946,5608.148841932606,5644,2.5,5602.323635194447,41.67636480555302,0.5568083432022637
1.487279843444227,5521.111400525014,5596,2.5,5515.1871772763425,80.81282272365752,1.0881785186551916
1.5264187866927592,5435.425969642304,5484,2.5,5429.407455824296,54.59254417570355,0.7408957724511803
1.5655577299412915,5351.071547604857,5269,2.5,5344.96334611185,-75.96334611185011,-1.0390386940287888
1.6046966731898238,5268.027458966125,5183,2.5,5261.83405232982,-78.83405232982022,-1.0867891092984268
1.643835616438356,5186.273349445037,5175,2.5,5179.999102464982,-4.999102464981661,-0.06945878723837819
1.6829745596868884,5105.789180937119,5064,2.5,5099.43834325848,-35.43834325848002,-0.4962633899494488
1.7221135029354206,5026.555226603119,4998,2.5,5020.131935242746,-22.131935242746295,-0.31236461113383945
1.761252446183953,4948.552066033907,4852,2.5,4942.0603478556895,-90.06034785568954,-1.2810898724657687
1.8003913894324852,4871.760580490502,4983,2.5,4865.204354630962,117.79564536903763,1.6888018361907762
1.8395303326810173,4796.161948218025,4856,2.5,4789.545028463109,66.45497153689121,0.9602412225731397
1.8786692759295496,4721.737639832441,4712,2.5,4715.063736946444,-3.063736946443896,-0.04461775249094191
1.917808219178082,4648.46941377898,4543,2.5,4641.742137786506,-98.74213778650574,-1.4493124412391316
1.9569471624266144,4576.339311861085,4568,2.5,4569.562174282949,-1.562174282948945,-0.023109587240341078
1.9960861056751469,4505.32965483882,4467,2.5,4498.506070882774,-31.50607088277411,-0.46974275472229476
2.035225048923679,4435.423038095656,4365,2.5,4428.5563288027915,-63.55632880279154,-0.9550535355133585
2.074363992172211,4366.602327372559,4419,2.5,4359.695721720248,59.304278279752,0.8981687390919999
2.1135029354207435,4298.850654568348,4286,2.5,4291.907291530546,-5.90729153054599,-0.09017024259088831
2.152641878669276,4232.151413605288,4248,2.5,4225.174344171023,22.825655828976778,0.35115669068359917
2.191780821917808,4166.488256358909,4059,2.5,4159.480445509756,-100.48044550975555,-1.557980467168161
2.23091976516634,4101.845088651036,3939,2.5,4094.8094172983665,-155.8094172983665,-2.4348760432344125
